Trial	plot_name	Clone	data	Use	Plot	TCC
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0019_plot24	BGM-0019			24	11.35919712
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BRS-Dourada_plot39	BRS-Dourada			39	8.391789562
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0061_plot54	BGM-0061			54	11.23357271
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0067_plot59	BGM-0067			59	9.695706805
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0069_plot60	BGM-0069			60	8.23002359
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0070_plot63	BGM-0070			63	7.914486802
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0122_plot90	BGM-0122			90	8.901843548
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0123_plot92	BGM-0123			92	7.85395759
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0132_plot100	BGM-0132			100	9.880762332
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0212_plot157	BGM-0212			157	7.668349851
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0285_plot193	BGM-0285			193	7.799037036
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0327_plot217	BGM-0327			217	7.983358973
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0345_plot227	BGM-0345			227	8.43275111
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0364_plot237	BGM-0364			237	8.29923871
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0380_plot246	BGM-0380			246	8.796498288
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0408_plot261	BGM-0408			261	7.326024991
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0424_plot275	BGM-0424			275	8.31540814
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0470_plot305	BGM-0470			305	8.287780961
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0472_plot307	BGM-0472			307	8.083128316
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0660_plot418	BGM-0660			418	8.847569485
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0661_plot420	BGM-0661			420	8.7668267
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0679_plot433	BGM-0679			433	6.781620132
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0694_plot438	BGM-0694			438	7.314842411
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0729_plot457	BGM-0729			457	11.57531506
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0733_plot458	BGM-0733			458	10.70362753
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0776_plot459	BGM-0776			459	9.860252102
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0779_plot462	BGM-0779			462	6.963079536
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0793_plot470	BGM-0793			470	9.427909379
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0878_plot515	BGM-0878			515	9.737921913
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0879_plot517	BGM-0879			517	7.913056237
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0882_plot519	BGM-0882			519	7.272719708
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0884_plot520	BGM-0884			520	7.358032505
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0902_plot528	BGM-0902			528	8.012773213
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0909_plot532	BGM-0909			532	9.18119549
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0914_plot533	BGM-0914			533	8.776345122
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0919_plot537	BGM-0919			537	9.682075555
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0920_plot538	BGM-0920			538	9.330897365
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0936_plot545	BGM-0936			545	11.12845963
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0945_plot552	BGM-0945			552	10.32872303
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0952_plot560	BGM-0952			560	10.48088978
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0958_plot567	BGM-0958			567	6.83706115
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0961_plot572	BGM-0961			572	11.077426
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0962_plot573	BGM-0962			573	10.61664592
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0968_plot580	BGM-0968			580	11.52927031
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0975_plot585	BGM-0975			585	9.838782849
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0983_plot592	BGM-0983			592	8.812815904
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0993_plot602	BGM-0993			602	8.449799742
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-0996_plot606	BGM-0996			606	7.955306816
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1043_plot629	BGM-1043			629	7.548621187
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1133_plot658	BGM-1133			658	9.318161425
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1137_plot662	BGM-1137			662	11.82327
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1143_plot668	BGM-1143			668	9.351419913
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1164_plot681	BGM-1164			681	8.084591222
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1168_plot686	BGM-1168			686	10.40797115
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1177_plot693	BGM-1177			693	9.084619352
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1213_plot708	BGM-1213			708	7.837568397
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1214_plot709	BGM-1214			709	7.854158674
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1284_plot740	BGM-1284			740	8.648426411
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1304_plot750	BGM-1304			750	6.963091225
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1355_plot773	BGM-1355			773	10.66343326
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1496_plot853	BGM-1496			853	8.274623382
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1497_plot854	BGM-1497			854	7.490981319
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1596_plot885	BGM-1596			885	8.145842368
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1666_plot915	BGM-1666			915	7.432441134
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1700_plot944	BGM-1700			944	10.72884414
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1701_plot945	BGM-1701			945	11.32057356
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1702_plot946	BGM-1702			946	10.50256295
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1703_plot948	BGM-1703			948	9.993116282
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1704_plot950	BGM-1704			950	11.15090105
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1705_plot951	BGM-1705			951	11.65723172
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1706_plot952	BGM-1706			952	7.677508032
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1708_plot954	BGM-1708			954	11.00041022
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1709_plot955	BGM-1709			955	11.30586837
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1710_plot958	BGM-1710			958	10.43486181
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1712_plot959	BGM-1712			959	10.23678642
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1716_plot963	BGM-1716			963	8.325459157
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1721_plot965	BGM-1721			965	8.510214978
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1725_plot968	BGM-1725			968	11.08616473
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1732_plot974	BGM-1732			974	7.704187506
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1737_plot977	BGM-1737			977	6.843005767
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1742_plot982	BGM-1742			982	8.847552406
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1745_plot984	BGM-1745			984	10.74345248
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1746_plot985	BGM-1746			985	8.569393888
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1752_plot990	BGM-1752			990	8.766875601
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1759_plot996	BGM-1759			996	7.605491518
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1768_plot1011	BGM-1768			1011	8.489855596
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1780_plot1016	BGM-1780			1016	10.86136449
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1783_plot1019	BGM-1783			1019	7.692466646
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1784_plot1020	BGM-1784			1020	7.965208647
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1818_plot1026	BGM-1818			1026	7.920240191
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1832_plot1031	BGM-1832			1031	8.864204921
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1834_plot1032	BGM-1834			1032	7.575668452
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1878_plot1042	BGM-1878			1042	8.281495212
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1956_plot1046	BGM-1956			1046	7.444954379
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1962_plot1048	BGM-1962			1048	11.0135091
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-1980_plot1053	BGM-1980			1053	9.983056164
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-2029_plot1067	BGM-2029			1067	8.272725209
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-2041_plot1072	BGM-2041			1072	11.11124166
BR.BAG.18.UFRB	BR.BAG1.18.UFRB_BGM-2123_plot1119	BGM-2123			1119	6.870242791
