TCC;Trait;GW/CH;CH;GW/MLST;CC
Diseases;Anth;60.7638725615535;63.3011161820783;66.5393493319682;62.3151996659093
Diseases;BlLS;56.7682988394945;53.8671696127714;64.5073587647571;53.8626569661321
Diseases;BrLS;56.2913292575521;55.248859451461;63.2359851427554;54.5202842929712
Diseases;WhLS;85.1324728962403;81.6385735697725;87.2486308181936;84.9815508159004
Diseases;Vigor45D;41.2624690230557;44.7992258670373;50.3873512701977;47.4637248157422
Diseases;FrogSkin;69.3279113619414;50.9964066290722;38.9222776665594;54.8864007645831
Diseases;Pod;264.745482199245;264.745482199245;251.843173887851;298.166712595049
Diseases;FerSev;219.513922161096;264.955397019377;255.48883978489;249.389488099985
Diseases;MosCm;325.860754922475;327.271843767639;227.615806871681;328.05630298613
Diseases;MosNv;170.4491907362;186.407375110414;150.459906108675;186.258933241927
Diseases;RF;26.9056500125862;32.9490760138088;34.4357171689297;34.3379247252932
Diseases;AcSev;18.649697620323;21.5062218581985;22.4965156448251;19.4996173554511
Diseases;Mean;116.30592096598;120.640562273406;109.431742705107;122.811566360423
Diseases;sd;102.736069211896;108.827686374893;88.1055839091622;111.283017184316
QualityRoot;HCN;6.32642144276188;4.35746420885031;4.60285519096519;5.56756952239108
QualityRoot;DMCsg;33.1038818296301;33.5111462670029;36.5551801912596;39.0136117068917
QualityRoot;TCC;224.964540973966;216.899698935033;209.576115081835;240.798733786514
QualityRoot;CorPol;85.6283343273781;86.1654035843946;83.8841024820762;89.2925173252737
QualityRoot;Mean;87.5057946434342;85.2334282488202;83.6545632365339;93.6681080852676
QualityRoot;sd;97.379139708418;94.0797382139965;90.0440898218965;103.947720326425
RootYield;IC;22.6388256484955;23.2679712305306;24.2619301836073;27.0756307818802
RootYield;PTR;24.354082813716;23.6226459853448;26.0206879255235;25.3401418664417
RootYield;NRz;45.077604131401;35.4122005109835;46.2101597083874;43.1037164925776
RootYield;DRY;21.419921611153;22.5150942122721;26.8422185772391;23.3796539448739
RootYield;DMCsg;27.9477149514084;28.7092451992529;30.1663948786341;31.9969627010423
RootYield;PPA;24.0962741368218;24.0633260595261;23.6871247931547;23.5834359442084
RootYield;PA;15.916176297121;14.9694732028691;18.6795145992621;15.3773542414353
RootYield;PRz;34.4427135935596;33.6910312747517;36.0774219425236;35.9414528295711
RootYield;Mean;26.9866641479595;25.7813734594414;28.9931815760415;28.2247936002538
RootYield;sd;9.03589084633761;6.60500566232512;8.60531639816158;8.57633374784162
