Acessos;IC;PTR;NR;DRY;DMCsg;PPA
2019g-08-06;2019g-08-06;53.7958641869882;29.7310519235439;5.74178264957745;5.62836309476263;32.606494091018;20.1223299013676
2019g-08-22;2019g-08-22;45.6706778168325;24.9868248894231;5.67679934737794;5.62836309476263;34.7750283172306;26.6584606799911
2019g-08-49;2019g-08-49;47.1871951322474;25.0147365688573;5.24585170040939;5.62836309476263;29.7525763373355;25.0211576134885
2019g-08-71;2019g-08-71;44.1582895956983;30.0691378438109;4.69251328994489;5.62836309476263;34.4230823004829;34.0712618877749
98103-08;98103-08;50.6567254506052;23.7487023732665;4.03559442651072;4.4366662418839;35.2685518529915;20.3722395116565
AF-BR-11-52-25;AF-BR-11-52-25;42.811515939521;21.0504152588027;5.7771416970525;7.91506969626404;36.6692515671244;23.0007551532715
BGM-0023;BGM-0023;47.7417979570777;24.7545418851527;3.57006927607171;6.79884614182168;33.9503591759434;29.5366158592818
BGM-0077;BGM-0077;26.2988665580956;12.8831057010499;2.9511806836954;7.29623999509325;34.8537595984227;18.2600331364385
BGM-0096;BGM-0096;41.8103399749282;21.5698480424717;5.10690020740293;6.16610015512718;33.5852215877869;30.1764343735262
BGM-0113-RcxCr;BGM-0113-RcxCr;52.4975710384301;36.6311864979444;5.70388334456085;6.70575238986324;35.6771872130887;29.0147479275099
BGM-0120;BGM-0120;50.2695526432326;29.4724771636306;5.01110473493726;7.09548194392099;31.9329913719846;31.4145330819674
BGM-0163;BGM-0163;42.2398088249883;22.4600123786065;4.53234508122898;7.79563463312844;38.2418285131497;29.2495226563359
BGM-0246;BGM-0246;59.7922928988653;29.760175489116;3.77822977454743;8.4574825286387;34.2047742425058;16.6367422777278
BGM-0248;BGM-0248;40.9831036502946;10.2409812638717;3.72444242496406;5.00988010446294;32.1528893972922;13.0155953618624
BGM-0263;BGM-0263;34.4548298019973;10.9479488694552;4.03559442651072;3.83806618790095;27.0853831229301;13.2701871288745
BGM-0323;BGM-0323;54.543421357845;30.8980580842444;4.83905994761208;7.51521323108234;36.1906718604891;23.40793784519
BGM-0326;BGM-0326;34.6873613218857;14.3008864330824;5.137231190238;4.46627316834313;33.0817824288459;24.1139986127979
BGM-0327;BGM-0327;36.3617441013166;12.026758817878;2.46311349908423;4.53948535739894;36.9823043288912;18.0803771743142
BGM-0336;BGM-0336;46.3213362045282;22.1410820411424;6.59961991417982;6.13828679640025;32.0107134306313;22.3176724824646
BGM-0342;BGM-0342;38.1917766555348;13.3446875894174;4.36884045739659;5.78338790394146;32.1053664149728;18.5432740946958
BGM-0352;BGM-0352;60.2541610014322;22.2879444797479;3.69791752623547;5.81448017900782;28.0848871209354;14.7100882904353
BGM-0408;BGM-0408;45.2572102239505;19.5582707103169;3.69803689084598;6.85477090145136;38.8300896904085;23.8171993490117
BGM-0424;BGM-0424;21.9885634358358;10.3521319727171;2.87359351164581;4.24670947241929;34.6978814533653;26.7949291892088
BGM-0437;BGM-0437;45.9619297010769;7.33679355706307;4.52025909118073;3.40093424637475;33.5585261705453;9.83124130385304
BGM-0489;BGM-0489;43.9526551646316;21.6437877559739;4.24599015240765;7.57566716866286;33.2439984639619;22.3160682923016
