Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
3;2018g-06-2;3;7;5;3;3;9;2;3;4;3;1;3;1;5;1;3;5;1;2;2;2;3;2;3;7;5;3;1;3;3;2;5;100;12.38;3.78;3.287579088;16.04;1.776666667;32.33333333;55.61666667;6.06533806698032;4.61372937425544;3.64728332219871;7.62495358819915;34.2933661916984;15.9404677326215;18.2548221135266;41.7233958586782;1.85538002564266
9;2019g-08-06;9;3;3;3;3;9;4;3;4;4;1;3;1;5;1;3;3;1;1;1;2;2;2;3;7;5;2;0;3;3;2;5;100;15.54;4.44;3.505317749;15.42;1.82;27.66666667;51.05666667;4.28434784825581;5.74178264957745;3.39368201120258;5.62836309476263;32.606494091018;29.7310519235439;20.1223299013676;53.7958641869882;1.92716950184028
24;2019g-08-22;5;2;3;3;2;9;4;3;4;1;1;5;1;5;7;7;5;1;4;1;1;0;2;3;7;5;3;0;3;3;2;5;0;19.28;3.78;5.115124576;24.62;1.893333333;15.33333333;50.16;7.76339745519747;5.67679934737794;3.39368201120258;5.62836309476263;34.7750283172306;24.9868248894231;26.6584606799911;45.6706778168325;1.92716950184028
49;2019g-08-49;7;5;3;7;2;5;2;5;4;1;1;3;1;5;3;3;3;1;1;1;2;2;2;3;7;5;3;0;3;3;2;3;100;13.52;3.7;3.656866152;15.1;2.116666667;20.33333333;65.64333333;3.22173162009012;5.24585170040939;3.39368201120258;5.62836309476263;29.7525763373355;25.0147365688573;25.0211576134885;47.1871951322474;1.92716950184028
62;2019g-08-64;3;3;3;3;2;5;2;3;3;3;2;5;1;5;3;3;3;1;1;1;1;0;1;3;7;0;3;0;3;3;1;3;0;17.82;5.9;3.031872058;23.34;1.83;28.66666667;64.99333333;6.01276774616095;4.44472201522509;3.39368201120258;5.62836309476263;36.4113581729075;24.8713360905333;31.1732049390915;42.6094174463265;1.92716950184028
68;2019g-08-71;9;7;5;7;2;5;4;7;4;1;1;5;1;5;3;3;5;1;1;1;1;0;1;3;7;0;3;0;3;3;2;5;0;17.6;4.86;3.629261078;27.62;2.49;33.66666667;76.23333333;7.76339745519747;4.69251328994489;3.39368201120258;5.62836309476263;34.4230823004829;30.0691378438109;34.0712618877749;44.1582895956983;1.92716950184028
77;AF-BR-11-52-25;5;5;5;3;3;9;4;5;4;1;1;3;1;3;3;3;3;2;2;2;3;3;1;3;7;3;3;1;3;3;2;5;120;11.22;3.87;2.903539851;13.4;1.59;18.66666667;63.70666667;5.68223592471899;5.7771416970525;2.9251776537207;7.91506969626404;36.6692515671244;21.0504152588027;23.0007551532715;42.811515939521;2.06421993817772
86;BGM-0004;3;5;5;3;3;7;2;3;1;1;1;5;1;5;3;3;5;1;2;1;1;0;1;2;3;5;3;0;4;3;2;3;0;16.02;5.96;2.694376424;23.96;3.153333333;26.80833333;54.43;7.85020677948608;4.60560398496087;3.7575920937548;5.81020728187059;37.435143286584;14.0793744939563;26.8064816437392;37.6785216569809;1.90258277369036
104;BGM-0027;7;5;5;5;3;6;1;7;1;1;2;5;1;5;3;7;5;1;2;1;2;2;2;2;3;5;3;0;3;3;2;5;100;17.06;5.34;3.195928775;25.26;2.61;33;52.05;6.94311312151789;3.76811362563213;3.21487703127723;7.04966008275763;38.5823806778709;21.5111052390731;23.5613594866753;45.9240590121079;2.05558431110348
106;BGM-0029;3;3;5;3;3;6;3;3;4;4;1;5;1;5;3;3;5;1;2;1;2;2;1;1;7;5;2;0;4;3;2;3;90;17.02;6.06;2.81129848;26.68;4.116666667;23.75;71.69166667;6.02387265172664;3.34595096035922;3.97146083142108;6.27589809284955;34.2648426688946;18.6338428278075;29.0293320650532;38.2468279527359;1.93325086692329
121;BGM-0047;5;1;5;3;2;5;3;3;4;3;1;5;1;2;3;3;5;1;3;1;1;1;1;2;7;5;2;0;3;3;1;5;90;17.12;5.46;3.137237324;30.36;3.15;29.83333333;62.7975;6.96908300382572;3.2662963844747;3.36809900470557;4.78962732637559;34.2232231095872;16.5968816012882;19.0975786086542;47.8678848832991;1.90088652186358
123;BGM-0049;7;3;5;3;3;7;1;3;1;2;3;5;1;2;3;3;5;1;2;1;1;0;2;3;3;5;3;0;4;3;2;7;0;14.52;5.04;2.883088235;23.32;2.656666667;36.66666667;66.16;6.94311312151789;4.38390777504655;2.84770087286945;8.18158028560064;37.3243785443933;30.6483893508418;35.4016169346381;43.5091227323537;2.24978703006871
143;BGM-0076;3;7;5;3;2;7;1;3;1;1;1;5;1;2;3;7;5;1;2;1;1;0;2;2;3;5;3;0;4;3;3;3;0;19.56;7.26;2.695438777;28.92;3.01;24.35833333;55.80833333;6.65159640883907;4.6992655907355;4.04275041064317;7.46175805627794;38.3455128368479;18.7788799900678;25.5346518873792;43.4113891645698;1.87550099844151
