id;Anth;BlLS;BrLS;WhLS;Vigor45D;FrogSkin;MosNv;RF;AcSev
BGM-0019;BGM-0019;3.60249455218342;3.3902278156585;3.35734244568523;0.486123827959867;2.33170951705366;0.476853815663391;0.0262276269543012;1.99798059449586;2.92217331707118
BGM-0032;BGM-0032;2.4225703740439;3.3902278156585;3.35734244568523;0.486123827959867;2.24463622716274;0.577994271051673;0.395953487985335;2.58896900606451;3.33015874239375
BGM-0054;BGM-0054;3.30751350764854;3.65831154572626;3.89395590756574;0.486123827959867;2.72883987378537;0.382318904052166;0.0555626760673795;2.50896265544946;2.64307153731137
BGM-0056;BGM-0056;1.53762724043925;2.58597662545522;2.55242225286446;0.486123827959867;2.27990498423526;0.384686567061546;0.0262276269543012;2.12478407138971;2.92217331707118
BGM-0061;BGM-0061;3.01253246311366;3.92639527579402;3.89395590756574;3.377609338652;1.85230600073671;0.381868409811664;0.0262276269543012;1.45994621836046;3.00377040213569
BGM-0062;BGM-0062;3.30751350764854;3.65831154572626;3.62564917662548;1.69090945741492;1.79638495773226;0.383840446778003;0.0262276269543012;1.62039168587246;2.58511846223191
BGM-0085;BGM-0085;3.30751350764854;2.85406035552298;2.82072898380472;2.41378083508796;2.15621848585992;0.446089442507269;0.0555626760673795;1.48558897187006;3.28562640780053
BGM-0090;BGM-0090;2.4225703740439;4.19447900586178;4.162262638506;2.65473796097897;2.06610549248599;0.484835133391194;0.0555626760673795;1.7825643621227;3.18736384353085
BGM-0132;BGM-0132;3.01253246311366;2.58597662545522;2.55242225286446;1.2089952056329;2.8419812175526;0.384583433188957;0.0262276269543012;1.58577727050323;3.16696457226472
BGM-0134;BGM-0134;3.30751350764854;3.3902278156585;3.35734244568523;1.44995233152391;2.41438223405405;0.465722622445358;0.358234223752443;1.58577727050323;2.92217331707118
BGM-0138;BGM-0138;1.53762724043925;3.3902278156585;3.35734244568523;2.41378083508796;2.12319766528232;0.402419282936236;0.0555626760673795;2.23652693836875;3.41175582745826
BGM-0163;BGM-0163;1.97973865224459;3.82839073778939;3.82437760797861;2.42865409419887;2.34034365296286;0.478670160560463;-0.0114916372785904;2.51366881863626;2.70950906050179
BGM-0185;BGM-0185;4.63456805305853;2.75605581751835;3.01945741515784;1.70578271652583;2.72478509357242;0.398800471938501;-0.0114916372785904;2.22395858049078;2.87270323063082
BGM-0195;BGM-0195;3.454643874919;3.82839073778939;3.82437760797861;1.94673984241684;2.24246569765743;0.388606887187501;0.540338006051311;2.03011769919851;2.95430031569533
BGM-0199;BGM-0199;2.27471969677947;2.48797208745059;2.48284395327733;1.46482559063482;1.69999751136462;0.399067090349842;0.540338006051311;1.32213761516534;3.73186230235666
BGM-0208;BGM-0208;4.63456805305853;3.82839073778939;3.82437760797861;1.22386846474381;2.48539484509616;0.398800471938501;0.358234223752443;2.22395858049078;2.95430031569533
BGM-0222;BGM-0222;1.97973865224459;2.21988835738284;2.21453722233708;1.22386846474381;2.07776700229621;0.850875125894176;-0.00131919770465277;1.87023489161188;2.80461310108519
BGM-0240;BGM-0240;1.97973865224459;3.02413954758611;3.01945741515784;1.22386846474381;2.48539484509616;0.398800471938501;0.540338006051311;2.00874483003662;3.03589740075985
BGM-0264;BGM-0264;3.74962491945388;2.21988835738284;2.21453722233708;1.22386846474381;2.43403013542332;0.598881048687461;0.446526966685227;3.16791214947481;3.11749448582436
BGM-0294;BGM-0294;3.06076649962574;3.67638188440546;3.67128721808545;0.907134599042605;2.2019253692985;0.379740003078778;-0.0114916372785904;1.4238613129729;3.03820880684694
BGM-0360;BGM-0360;3.94570963323038;3.94446561447322;3.93959394902571;2.35287735438867;2.67037381324767;0.47465084501035;0.0316769030255626;2.49846092817902;3.44619423216951
BGM-0364;BGM-0364;2.17582336602109;3.4082981543377;3.13467375620494;1.63000597671564;2.58111752428295;0.369236031183556;0.0316769030255626;1.42214690288129;2.86584945743379
BGM-0386;BGM-0386;3.94570963323038;3.94446561447322;4.20790067996597;2.11192022849766;2.82628970839433;0.372878656977877;0.0316769030255626;2.0272639102463;2.71182046658888
BGM-0398;BGM-0398;3.06076649962574;4.21254934454098;4.20790067996597;2.35287735438867;2.26714226646628;0.380700675665341;0.307591724690513;2.42106571371769;2.71182046658888
BGM-0427;BGM-0427;3.94570963323038;3.4082981543377;3.4029804871452;1.87096310260665;2.22867566288351;0.371917234897406;0.0316769030255626;2.72721627907322;2.71182046658888
BGM-0428;BGM-0428;4.24069067776527;2.33596323406666;2.06144683244392;0.907134599042605;2.45389900307729;0.387149817443011;0.0555626760673795;2.82654794197124;2.71182046658888
BGM-0436;BGM-0436;3.6507285886955;3.14021442426994;3.13467375620494;1.14809172493362;1.48575917544111;0.364410097755637;0.0316769030255626;1.19238866429271;2.90573550833304
BGM-0438;BGM-0438;2.47080441055597;3.14021442426994;3.4029804871452;2.35287735438867;2.26714226646628;0.642077124740352;0.48969550698938;1.6975715120711;3.44619423216951
